,state_mw,incar_rate_scaled,viol_crime_scaled,clusters,cluster
230,5.15,0.3411760786548257,0.6463186349719763,2,dark purple
231,6.0,0.32632488291710615,0.4443997051566839,2,dark purple
232,5.15,0.4225560463964939,0.468725198879838,2,dark purple
233,5.15,0.2076882403343916,0.11125029996037483,2,dark purple
234,2.8,0.39395205676555634,0.35012729931622744,1,purple
235,2.0,0.6464618258178234,0.5092224106192589,1,purple
236,7.25,0.35414830781519413,0.28701210394501686,0,pink
237,5.15,0.3380880458280444,0.4253085236996412,2,dark purple
238,6.75,0.3180017462000251,0.2524266950786114,0,pink
239,0.0,0.5287580657750368,0.7673772983253002,1,purple
240,5.15,0.4318071063607931,0.17899476224556565,2,dark purple
241,0.0,0.32355315051972866,0.757319200783968,1,purple
242,5.15,0.6850903853774071,0.5281242076307535,2,dark purple
243,5.15,0.20310529507696629,0.22535130847245455,2,dark purple
244,7.0,0.33387586008757353,0.12564529897645116,0,pink
245,5.15,0.40614320896565914,0.28335633687675,2,dark purple
246,7.35,0.26670803781598806,0.34560312051326036,0,pink
247,5.15,0.22248155437409878,0.27385735884308815,2,dark purple
248,5.15,0.396570423617959,0.2418209332972765,2,dark purple
249,5.15,0.4119513090699911,0.23034680634737015,2,dark purple
250,0.0,0.5240887869149446,0.4251548554748297,1,purple
251,7.15,0.7539702113717794,0.6880052853375673,0,pink
252,0.0,0.5797949619591236,0.5425604060292244,1,purple
253,5.15,0.4572958219796419,0.5527821835130453,2,dark purple
254,6.75,0.47259898856282234,0.5334505811333656,0,pink
255,5.15,0.46390178613364697,0.39538205601274967,2,dark purple
256,7.4,0.5393161438405514,0.29973103664815426,0,pink
257,6.15,0.8226359263062477,0.7010156288743019,2,dark purple
258,6.4,0.4995995666831732,0.7164333947002888,0,pink
259,5.15,0.5637797061353922,0.477939797565341,2,dark purple
260,6.75,0.42862766422331333,0.28066944796591997,0,pink
261,5.15,0.4544943105429411,0.24998891167342663,2,dark purple
262,6.5,0.3515126649290323,0.5416003987193108,0,pink
263,5.15,0.39440756663680077,0.3215797245502472,2,dark purple
264,5.15,0.2963698236271739,0.28573968447744846,2,dark purple
265,2.65,0.3195644123479724,0.43269447050988674,1,purple
266,5.15,0.37063066847622395,0.27010936755687,2,dark purple
267,0.0,0.4854507278650999,0.721191056072712,1,purple
268,6.5,0.15761508839204907,0.11599804274737835,0,pink
269,5.15,0.40354523807764053,0.6786476820707321,2,dark purple
270,6.75,0.1673555583693087,0.5004821345210075,0,pink
271,5.15,0.5102696362882853,0.5644117947667837,2,dark purple
272,5.25,0.17057920340448618,0.3104642266407609,2,dark purple
273,0.0,0.5629195831716061,0.3118321765214205,1,purple
274,5.15,0.5154454614967108,0.545927882194519,2,dark purple
275,4.0,0.31207920983433723,0.3772897878661752,2,dark purple
276,5.15,0.24876564275473356,0.29389294795691967,2,dark purple
277,5.15,0.5110740195959806,0.7488192059099674,2,dark purple
278,5.15,0.20351435523480177,0.13575227931141853,2,dark purple
279,6.15,0.2928972942754626,0.35016092006117105,2,dark purple
280,5.15,0.3396604675799608,0.6547123193740845,2,dark purple
281,6.75,0.32910697627812624,0.4351766314357519,0,pink
282,5.15,0.4259580746293068,0.47522131353616714,2,dark purple
283,5.15,0.21026409231126308,0.19736832473427057,2,dark purple
284,2.8,0.4223904572427273,0.36148265935480595,1,purple
285,2.0,0.639051292091608,0.500249769538641,1,purple
286,7.5,0.3564405022189021,0.28464437928050756,0,pink
287,5.15,0.35344697535037994,0.44232518412172794,2,dark purple
